from_bus,to_bus,P_MW,Q_MVar,l_pu,I_magnitude_pu,r_ij,x_ij
1,2,5.416653669676851,2.7810190640967383,0.37074203606792006,0.6088858974125777,0.005752591161723931,0.002932448856844086
2,3,4.934186660020179,2.549066292335029,0.31087899893818366,0.5575652418669798,0.03075951673242839,0.0156667639990117
3,4,2.3647226963308436,1.6855469265562317,0.08837924920797854,0.2972864766651496,0.022835665566062455,0.011629967381185907
4,5,2.2245407065519123,1.5952684487016067,0.07975852621762743,0.28241552049706375,0.023777792751984703,0.012110389853477383
5,6,2.1455758894858477,1.5556093802352642,0.07591793444457307,0.27553209331142003,0.05109948114372992,0.04411151791039933
6,7,1.095558949512153,0.5281441839259198,0.0166232961597646,0.128931362203944,0.011679881404281126,0.0386084968641515
7,8,0.8936173682352101,0.4217261791493584,0.011055101792999258,0.10514324416242471,0.044386045037423036,0.014668483537107332
8,9,0.6887104457744364,0.3201045633628419,0.006598882412736806,0.0812335054810317,0.0642643047350938,0.046170471363077094
9,10,0.6244697198716047,0.2970578282481861,0.0055456727283376,0.07446927371968656,0.06513780013926013,0.046170471363077094
10,11,0.5608573906534426,0.27449736500925886,0.004579301237208759,0.06767053448295468,0.012266371175649942,0.004055514376486502
11,12,0.5152956765664356,0.24431165078924125,0.003826706551440901,0.06186037949641839,0.02335976280856225,0.00772419507398506
12,13,0.4544017669926393,0.209016068510299,0.002953303181575918,0.054344302199733116,0.09159223237972591,0.07206337084372169
13,14,0.39169677067969244,0.17188781868642056,0.0021892214948933675,0.04678911726986701,0.03379179363546291,0.04447963383072657
14,15,0.27095699346991486,0.09091406098174842,0.0009822218263513807,0.031340418413789255,0.03687398456159265,0.032818470185106155
15,16,0.21059480914530548,0.08059171080451571,0.0006133140598792358,0.024765178373660785,0.046563544294951936,0.03400392823361759
16,17,0.15030922838136643,0.060383159931747706,0.0003174645372532958,0.017817534544748208,0.08042396971217078,0.10737754218358876
17,18,0.09005391079807896,0.04004227431434061,0.00011804078563641016,0.010864657640092031,0.04567133113212491,0.03581331157081926
2,19,0.3611397360571602,0.16108095116319474,0.0015760579871764303,0.039699596813776716,0.01023237473451979,0.009764430768002116
19,20,0.270978467897879,0.12092705807217335,0.0008884259349858613,0.029806474715837517,0.09385084192478454,0.08456683362907391
20,21,0.18014467267801665,0.08017574438981631,0.00039512450033875264,0.019877738813525864,0.02554974057186496,0.029848585810940652
21,22,0.09004371939324428,0.04005780531427264,9.884542225792252e-05,0.009942103512734241,0.04423006371525048,0.05848051730893536
3,23,2.3838390859933396,0.7748146866926618,0.06584731474519881,0.25660731623474575,0.028151509025703222,0.019235616650319823
23,24,2.275302073239662,0.712148549653746,0.06060802776347914,0.24618697724184996,0.05602849092438275,0.04424254222102428
24,25,0.421344309904754,0.20105189249355254,0.00240468835458038,0.04903762182835114,0.0559037058666447,0.043743401990072095
6,26,0.9512232693774808,0.9739766430596213,0.02082939321403857,0.14432391767838956,0.01266568336041169,0.00645138748505699
26,27,0.8885850843870956,0.9476328581925975,0.019043759763193616,0.1379991295740434,0.017731956704576366,0.009028198927347643
27,28,0.8252082531509626,0.9209135496779302,0.017349742044575643,0.13171841953415492,0.06607368807229547,0.05825590420500687
28,29,0.7537446387110818,0.8908063005726263,0.015836833339788452,0.12584448076808316,0.05017607171646838,0.04371220572563759
29,30,0.625798337856892,0.8138836714027116,0.012480695119548515,0.11171703146588041,0.03166420840102922,0.016128468712642473
30,31,0.42184642454434107,0.2118707263952349,0.0026593718606483423,0.051569097923546636,0.06079528012997611,0.06008400530086925
31,32,0.2702296519719621,0.1402728692655133,0.001116470547054884,0.03341362816359343,0.019372880213831673,0.02257985619769946
32,33,0.060013359470258466,0.040020771821498644,6.279170414536683e-05,0.00792412166396799,0.02127585234433688,0.03308051880635605
